Date,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'CL=F')","('High', 'CL=F')","('Low', 'CL=F')","('Open', 'CL=F')","('Volume', 'CL=F')"
,CL=F,CL=F,CL=F,CL=F,CL=F,,,,,,
2026-02-27,67.0199966430664,67.83000183105469,64.8499984741211,65.3499984741211,437053,,,,,,
2026-03-02,71.2300033569336,75.33000183105469,69.19999694824219,75.0,881329,,,,,,
2026-03-03,74.55999755859375,77.9800033569336,70.41000366210938,71.2300033569336,1009753,,,,,,
2026-03-04,74.66000366210938,77.2300033569336,73.27999877929688,74.73999786376953,617822,,,,,,
2026-03-05,81.01000213623047,82.16000366210938,74.97000122070312,76.1500015258789,707030,,,,,,
2026-03-06,90.9000015258789,92.61000061035156,78.23999786376953,79.08000183105469,996251,,,,,,
2026-03-09,94.7699966430664,119.4800033569336,81.19000244140625,98.0,1107193,,,,,,
2026-03-10,83.44999694824219,91.4800033569336,76.7300033569336,85.75,801564,,,,,,
2026-03-11,87.25,88.98999786376953,81.79000091552734,86.88999938964844,538020,,,,,,
2026-03-12,95.7300033569336,97.19000244140625,88.61000061035156,89.31999969482422,548999,,,,,,
2026-03-13,98.70999908447266,99.31999969482422,92.04000091552734,96.73999786376953,436700,,,,,,
2026-03-16,93.5,102.44000244140625,92.93000030517578,100.93000030517578,455454,,,,,,
2026-03-17,96.20999908447266,98.41999816894531,93.83000183105469,94.41000366210938,308425,,,,,,
2026-03-18,96.31999969482422,100.55000305175781,91.95999908447266,96.0,157222,,,,,,
2026-03-19,96.13999938964844,101.4800033569336,92.80000305175781,99.12999725341797,118719,,,,,,
2026-03-20,98.31999969482422,99.66999816894531,93.41999816894531,95.0,461845,,,,,,
2026-03-23,88.12999725341797,101.66999816894531,84.37000274658203,100.51000213623047,666790,,,,,,
2026-03-24,92.3499984741211,93.36000061035156,86.33999633789062,88.77999877929688,420067,,,,,,
2026-03-25,90.31999969482422,91.7300033569336,86.45999908447266,88.48999786376953,405170,,,,,,
2026-03-26,94.4800033569336,95.44000244140625,89.51000213623047,91.37999725341797,350768,,,,,,
2026-03-27,99.63999938964844,101.23999786376953,92.08000183105469,93.30999755859375,374920,,,,,,
2026-03-30,102.87999725341797,105.36000061035156,99.43000030517578,102.5999984741211,374075,,,,,,
2026-03-31,101.37999725341797,106.86000061035156,99.62000274658203,105.06999969482422,495395,,,,,,
2026-04-01,100.12000274658203,103.30999755859375,96.5,101.72000122070312,434561,,,,,,
2026-04-02,111.54000091552734,113.97000122070312,97.5,98.91999816894531,434561,,,,,,
,,,,,,2026-02-27,67.0199966430664,67.83000183105469,64.8499984741211,65.3499984741211,437053.0
,,,,,,2026-03-02,71.2300033569336,75.33000183105469,69.19999694824219,75.0,881329.0
,,,,,,2026-03-03,74.55999755859375,77.9800033569336,70.41000366210938,71.2300033569336,1009753.0
,,,,,,2026-03-04,74.66000366210938,77.2300033569336,73.27999877929688,74.73999786376953,617822.0
,,,,,,2026-03-05,81.01000213623047,82.16000366210938,74.97000122070312,76.1500015258789,707030.0
,,,,,,2026-03-06,90.9000015258789,92.61000061035156,78.23999786376953,79.08000183105469,996251.0
,,,,,,2026-03-09,94.7699966430664,119.4800033569336,81.19000244140625,98.0,1107193.0
,,,,,,2026-03-10,83.44999694824219,91.4800033569336,76.7300033569336,85.75,801564.0
,,,,,,2026-03-11,87.25,88.98999786376953,81.79000091552734,86.88999938964844,538020.0
,,,,,,2026-03-12,95.7300033569336,97.19000244140625,88.61000061035156,89.31999969482422,548999.0
,,,,,,2026-03-13,98.70999908447266,99.31999969482422,92.04000091552734,96.73999786376953,436700.0
,,,,,,2026-03-16,93.5,102.44000244140625,92.93000030517578,100.93000030517578,455454.0
,,,,,,2026-03-17,96.20999908447266,98.41999816894531,93.83000183105469,94.41000366210938,308425.0
,,,,,,2026-03-18,96.31999969482422,100.55000305175781,91.95999908447266,96.0,157222.0
,,,,,,2026-03-19,96.13999938964844,101.4800033569336,92.80000305175781,99.12999725341797,118719.0
,,,,,,2026-03-20,98.31999969482422,99.66999816894531,93.41999816894531,95.0,461845.0
,,,,,,2026-03-23,88.12999725341797,101.66999816894531,84.37000274658203,100.51000213623047,666790.0
,,,,,,2026-03-24,92.3499984741211,93.36000061035156,86.33999633789062,88.77999877929688,420067.0
,,,,,,2026-03-25,90.31999969482422,91.7300033569336,86.45999908447266,88.48999786376953,405170.0
,,,,,,2026-03-26,94.4800033569336,95.44000244140625,89.51000213623047,91.37999725341797,350768.0
,,,,,,2026-03-27,99.63999938964844,101.23999786376953,92.08000183105469,93.30999755859375,374920.0
,,,,,,2026-03-30,102.87999725341797,105.36000061035156,99.43000030517578,102.5999984741211,374075.0
,,,,,,2026-03-31,101.37999725341797,106.86000061035156,99.62000274658203,105.06999969482422,495395.0
,,,,,,2026-04-01,100.12000274658203,103.30999755859375,96.5,101.72000122070312,434561.0
,,,,,,2026-04-02,111.54000091552734,113.97000122070312,97.5,98.91999816894531,434561.0
